repetition,schedule_index,arm,expert_slots,cache_mib,decode_tps,prompt_tps,expert_hit_rate,expert_misses,expert_accesses,minimum_free_percent,peak_compressor_growth_gib,peak_swap_growth_mib,power_source,native_warning_or_critical
0,6,cache-slots-16,16,1136,11.271,5.529953917050691,0.4897549019607843,41636,81600,50.0,0.0207061767578125,0.0,AC Power,False
0,7,cache-slots-24,24,1704,11.329,5.519779208831647,0.5714583333333333,34969,81600,49.0,1.2164459228515625,0.0,AC Power,False
0,8,cache-slots-32,32,2272,11.045,5.479452054794521,0.6372916666666667,29597,81600,47.0,1.8104248046875,0.0,AC Power,False
0,9,cache-slots-48,48,3408,10.405,5.361930294906166,0.7387254901960785,21320,81600,41.0,3.0843658447265625,0.0,AC Power,False
0,10,cache-slots-64,64,4544,10.032,5.361930294906166,0.8116911764705882,15366,81600,40.0,3.6779937744140625,0.0,AC Power,False
0,11,cache-slots-96,96,6816,10.063,5.240174672489084,0.9012745098039215,8056,81600,32.0,5.693359375,31.9399995803833,AC Power,False
1,12,cache-slots-96,96,6816,10.12,5.300353356890459,0.9012745098039215,8056,81600,32.0,5.4730987548828125,0.0,AC Power,False
1,13,cache-slots-64,64,4544,10.031,5.434782608695652,0.8116911764705882,15366,81600,39.0,3.32037353515625,0.0,AC Power,False
1,14,cache-slots-48,48,3408,10.568,5.509641873278237,0.7387254901960785,21320,81600,44.0,2.501953125,0.0,AC Power,False
1,15,cache-slots-32,32,2272,11.179,5.514705882352941,0.6372916666666667,29597,81600,47.0,1.59869384765625,0.0,AC Power,False
1,16,cache-slots-24,24,1704,11.377,5.509641873278237,0.5714583333333333,34969,81600,49.0,0.8069305419921875,0.0,AC Power,False
1,17,cache-slots-16,16,1136,11.35,5.524861878453039,0.4897549019607843,41636,81600,51.0,0.701904296875,0.0,AC Power,False
2,18,cache-slots-16,16,1136,11.38,5.550416281221091,0.4897549019607843,41636,81600,51.0,0.698089599609375,0.0,AC Power,False
2,19,cache-slots-24,24,1704,10.887,5.504587155963303,0.5714583333333333,34969,81600,49.0,1.2807464599609375,0.0,AC Power,False
2,20,cache-slots-32,32,2272,11.001,5.347593582887701,0.6372916666666667,29597,81600,47.0,1.7986602783203125,0.0,AC Power,False
2,21,cache-slots-48,48,3408,10.495,5.357142857142858,0.7387254901960785,21320,81600,42.0,3.2187042236328125,0.0,AC Power,False
2,22,cache-slots-64,64,4544,10.279,5.4005400540054005,0.8116911764705882,15366,81600,40.0,3.77130126953125,0.0,AC Power,False
2,23,cache-slots-96,96,6816,10.18,5.328596802841918,0.9012745098039215,8056,81600,32.0,5.868194580078125,75.88000011444092,AC Power,False
3,24,cache-slots-96,96,6816,10.259,5.323868677905945,0.9012745098039215,8056,81600,33.0,5.5067138671875,0.0,AC Power,False
3,25,cache-slots-64,64,4544,10.177,5.405405405405405,0.8116911764705882,15366,81600,41.0,3.3944549560546875,0.0,AC Power,False
3,26,cache-slots-48,48,3408,11.371,5.54016620498615,0.7387254901960785,21320,81600,43.0,2.70050048828125,0.0,AC Power,False
3,27,cache-slots-32,32,2272,10.914,5.597014925373134,0.6372916666666667,29597,81600,48.0,1.4164886474609375,0.0,AC Power,False
3,28,cache-slots-24,24,1704,11.556,5.529953917050691,0.5714583333333333,34969,81600,50.0,1.13189697265625,0.0,AC Power,False
3,29,cache-slots-16,16,1136,11.33,5.607476635514019,0.4897549019607843,41636,81600,52.0,0.360107421875,0.0,AC Power,False
4,30,cache-slots-16,16,1136,10.853,5.489478499542543,0.4897549019607843,41636,81600,49.0,0.9314117431640625,0.0,AC Power,False
4,31,cache-slots-24,24,1704,11.148,5.469462169553327,0.5714583333333333,34969,81600,49.0,1.3479461669921875,0.0,AC Power,False
4,32,cache-slots-32,32,2272,10.991,5.519779208831647,0.6372916666666667,29597,81600,47.0,1.605377197265625,0.0,AC Power,False
4,33,cache-slots-48,48,3408,10.181,5.44464609800363,0.7387254901960785,21320,81600,44.0,3.1201324462890625,0.0,AC Power,False
4,34,cache-slots-64,64,4544,10.224,5.415162454873646,0.8116911764705882,15366,81600,39.0,4.169921875,0.0,AC Power,False
4,35,cache-slots-96,96,6816,9.883,5.2264808362369335,0.9012745098039215,8056,81600,32.0,6.06903076171875,266.3100004196167,AC Power,False
